ScientificName,CommonName,ToxicityLevel,ToxinGroup,Description,KeyIdentifiers,TypicalSymptoms,Habitat,DistributionNote,IsActive
Bungarus candidus,Rắn cạp nia,Deadly,Neurotoxin,"Rắn cạp nia miền Nam, cực độc, hoạt động ban đêm",Thân khoang trắng-đen rõ rệt; tiết diện thân hình tam giác,Liệt cơ; sụp mí; khó thở; thường ít/không sưng đau,Cánh đồng; gần nước; có thể vào nhà ban đêm,Miền Nam Việt Nam; vùng nông thôn,TRUE
Bungarus fasciatus,Rắn cạp nong,Deadly,Neurotoxin,"Rắn cạp nong khoang vàng-đen, cực độc",Thân khoang vàng-đen; đuôi tù; sống lưng nhô cao,Buồn ngủ; yếu cơ tiến triển; khó nuốt; có thể suy hô hấp,Vùng rừng núi; ven sông suối,Toàn Việt Nam,TRUE
Calloselasma rhodostoma,Rắn chàm quạp,HighlyVenomous,Hemotoxin,"Rắn lục hố má độc, phổ biến ở rẫy cao su",Thân màu nâu/hồng nhạt; hoa văn tam giác đối xứng,Chảy máu vết cắn khó cầm; sưng nề; hoại tử; rối loạn đông máu,Rẫy cao su; vùng đất đỏ; dưới lớp lá khô,Tây Nguyên; Đông Nam Bộ,TRUE
Rhabdophis subminiatus,Rắn hoa cỏ cổ đỏ,HighlyVenomous,Mixed,"Rắn răng sau có nọc nguy hiểm, gây rối loạn đông máu và suy thận",Cổ có màu đỏ rực rỡ; thân xanh xám hoặc nâu; răng sau (opisthoglyphous),Xuất huyết dưới da; rối loạn đông máu; suy thận cấp; tiểu ra máu,Cạnh ao hồ; suối; đồng ruộng,Phổ biến gần nguồn nước toàn Việt Nam,TRUE
Ophiophagus hannah,Rắn hổ mang chúa,Deadly,Mixed,"Rắn độc lớn nhất thế giới, có thể dài trên 5m",Kích thước rất lớn (>3m); phình mang theo chiều dọc; vảy chẩm lớn,Đau dữ dội; sưng lan nhanh; suy hô hấp cấp tốc,Rừng sâu; bụi rậm; hang hốc tự nhiên,Rừng khắp Việt Nam,TRUE
Naja kaouthia,Rắn hổ mang đất,Deadly,Mixed,"Rắn hổ mang phổ biến nhất VN, nọc chứa cả neurotoxin và cytotoxin",Phình mang có hình mắt kính (chữ O) ở sau cổ,Vết cắn sưng; phồng rộp; hoại tử mô; đau nhiều; có thể suy hô hấp,Vườn rẫy; dưới đống củi; khu dân cư,Phổ biến gần khu dân cư toàn Việt Nam,TRUE
Naja siamensis,Rắn hổ mèo,Deadly,Mixed,"Rắn hổ mang phun nọc, có thể phun xa 2-3m",Có khả năng phun độc; mang hình chữ V hoặc không rõ,Nếu độc vào mắt: kích ứng nặng/mù tạm thời-vĩnh viễn; hoại tử mô; đau/sưng; có thể suy hô hấp,Vùng đất khô ráo; lùm bụi; kho bãi,Miền Đông Nam Bộ; miền Trung,TRUE
Azemiops feae,Rắn lục đầu bạc,HighlyVenomous,Hemotoxin,"Rắn lục nguyên thủy hiếm gặp, sống vùng núi cao lạnh",Đầu dẹp rộng có hai đường sọc trắng/vàng; thân đen sọc ngang nhỏ,Sưng nề; bầm tím lan rộng; đau nhức cục bộ,Vùng núi cao; khí hậu lạnh; rừng ẩm,Miền Bắc Việt Nam; vùng núi cao >800m,TRUE
Trimeresurus albolabris,Rắn lục đuôi đỏ,HighlyVenomous,Hemotoxin,"Rắn lục xanh phổ biến nhất, sống trên cây",Thân xanh lá; mút đuôi đỏ/cam đặc trưng; môi trắng,Rối loạn đông máu; sưng phù; bầm tím toàn chi; đau,Bụi cây thấp; vườn cây; tán lá xanh,Phổ biến toàn Việt Nam,TRUE
Trimeresurus vogeli,Rắn lục Von-gen,HighlyVenomous,Hemotoxin,"Rắn lục xanh sẫm, dễ nhầm với lục đuôi đỏ",Thân xanh sẫm; bụng nhạt; mắt vàng/xanh; KHÔNG có đuôi đỏ (khác T. albolabris),Sưng đau; xuất huyết cục bộ tại vết cắn; rối loạn đông máu,Rừng rậm; khu vực gần suối; núi cao,Rừng núi miền Trung và miền Bắc,TRUE
